Group	PFAM_PROPHANE	PFAM_MANTIS	KO_MANTIS	KO_MANTIS_CONSENSUS	GP_DB2Metagenome_F08	GP_DB2Metagenome_F06	GP_DB2Metagenome_F07	GP_DB2Metagenome_F01	MPA_DB2Metagenome_F08	MPA_DB2Metagenome_F06	MPA_DB2Metagenome_F07	MPA_DB2Metagenome_F01	MQ_DB2Metagenome_F08	MQ_DB2Metagenome_F06	MQ_DB2Metagenome_F07	MQ_DB2Metagenome_F01	PD_DB2Metagenome_F08	PD_DB2Metagenome_F06	PD_DB2Metagenome_F07	PD_DB2Metagenome_F01
k99_160942_8	-;	UPF0758;	K03630;	K03630	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_64115_99	PF00764;	PF00764;	K01940;	K01940	0.0	0.0	0.0	8.0	0.0	2.0	2.0	0.0	0.0	2.0	8.0	2.0	0.0	2.0	2.0	2.0
k99_240023_1	unclassified;				0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_86683_4	-;		K13421;K01591;K00762;	K00762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k99_130574_11	PF04055;		K21936;K02495;	K02495	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_99823_2	-;		K16153;	K16153	24.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0
k99_86683_8	-;	PF01450;	K00053;	K00053	116.0	124.0	268.0	348.0	30.0	53.0	98.0	97.0	18.0	48.0	212.0	94.0	60.0	114.0	248.0	246.0
k99_106262_2_k99_209941_4_k99_234742_10_k99_49172_8_k99_58083_11	-;-;PF00512;unclassified;-;	PF00512;PF00512;	K14980;K07650;K18345;K18072;K11617;K18351;K07641;K20487;K07640;K01768;K03406;K07642;K07644;K19609;K11525;K11527;K07638;K10819;K07639;K02484;K02660;K02482;K18143;K19694;K07654;K07653;K07315;K07678;K07711;K05874;K20974;K11527;	K20487K11527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
k99_64115_93	-;		K09251;K00819;K00821;K05830;K21778;K00840;	K00821	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_39544_1	PF00012;	PF00012;			14.0	46.0	152.0	36.0	3.0	16.0	49.0	15.0	8.0	16.0	102.0	10.0	10.0	40.0	128.0	52.0
k99_43558_6	-;		K00382;K17583;K00322;	K00382	12.0	22.0	40.0	42.0	2.0	9.0	15.0	21.0	8.0	16.0	48.0	18.0	6.0	20.0	36.0	40.0
k99_43558_8	-;	PF03599;	K00198;K00194;	K00194	16.0	28.0	46.0	22.0	3.0	13.0	20.0	10.0	8.0	20.0	56.0	10.0	8.0	24.0	32.0	22.0
k99_14897_1_k99_18131_18_k99_197057_1_k99_203047_3_k99_234742_65_k99_236019_5_k99_247965_11_k99_249756_17_k99_4480_27_k99_4527_3_k99_5849_10_k99_63122_3_k99_66512_25_k99_76678_9_k99_8669_8_k99_89663_2_k99_92394_3_k99_95593_1	-;PF14501;-;-;-;PF00486;-;-;-;-;-;-;-;-;-;-;-;-;	PF00512;PF02920;PF02920;	K07668;K14980;K07650;K18345;K18072;K11617;K18350;K18351;K07641;K20487;K07640;K01768;K03406;K07642;K07644;K19609;K11525;K11527;K07638;K10819;K07639;K02484;K02660;K02482;K18143;K19694;K07654;K07653;K07315;K07678;K07711;K05874;K20974;K07775;K07775;K07775;K07775;K07775;K07775;K07775;K07775;K07658;K07775;K07775;K14059;K07775;K07775;K07775;K14059;	K07668K18350K07775K07775K07775K07775K07775K07775K07775K07775K07658K07775K07775K14059K07775K07775K07775K14059	0.0	2.0	2.0	16.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	4.0	2.0	14.0
k99_227965_1	-;				18.0	8.0	8.0	12.0	3.0	1.0	2.0	2.0	4.0	4.0	4.0	2.0	8.0	8.0	2.0	8.0
k99_32793_38	PF05690;		K03149;	K03149	0.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	12.0
k99_43558_9	PF04060;	PF03599;	K00197;K03616;	K00197	22.0	34.0	68.0	72.0	4.0	13.0	27.0	22.0	4.0	20.0	64.0	20.0	14.0	36.0	60.0	56.0
k99_132571_91_k99_146959_1_k99_203929_2_k99_209451_85_k99_50925_2	-;-;PF00343;PF00343;PF00343;	PF00343;PF00343;PF00343;PF00343;PF00343;	K01201;K00688;K01201;K00688;K01201;K00688;K01201;K00688;K01201;K00688;	K00688K00688K00688K00688K00688	0.0	6.0	10.0	124.0	0.0	1.0	0.0	35.0	0.0	4.0	4.0	52.0	0.0	8.0	12.0	106.0
k99_43558_2	-;		K13990;K01746;K01500;	K01500	4.0	4.0	0.0	10.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	2.0	4.0	0.0	10.0
k99_43558_3	-;	PF02882;PF00763;	K01491;	K01491	44.0	28.0	48.0	12.0	3.0	14.0	17.0	5.0	8.0	12.0	44.0	4.0	14.0	22.0	40.0	8.0
k99_185394_5	-;	PF07698;	K07037;	K07037	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
k99_197599_1_k99_199226_7	PF06207;-;				0.0	4.0	10.0	4.0	0.0	2.0	4.0	2.0	0.0	4.0	18.0	4.0	0.0	2.0	10.0	4.0
k99_43558_4	-;				4.0	8.0	22.0	0.0	0.0	3.0	9.0	0.0	0.0	4.0	30.0	0.0	2.0	6.0	18.0	0.0
k99_24017_4	unclassified;				20.0	12.0	26.0	30.0	4.0	3.0	15.0	14.0	2.0	4.0	28.0	14.0	10.0	10.0	20.0	26.0
k99_222119_10	-;	PF00281;	K02931;	K02931	20.0	26.0	48.0	42.0	4.0	7.0	15.0	17.0	0.0	16.0	42.0	10.0	10.0	24.0	54.0	60.0
k99_107045_74_k99_120646_2_k99_162013_1_k99_165373_1_k99_229107_6_k99_233851_4_k99_74158_7	-;-;-;-;-;PF00871;PF00871;		K00925;K19697;K00932;K00925;K19697;K00932;K00925;K19697;K00932;K00925;K19697;K00932;K00925;K19697;K00932;K00925;K19697;K00932;K00925;K19697;K00932;	K00925K00925K00925K00925K00925K00925K00925	0.0	4.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	4.0	0.0	0.0	4.0	2.0	0.0
k99_100530_1	PF00679;	PF14492;PF03764;	K02355;K18220;	K02355	12.0	20.0	40.0	4.0	3.0	7.0	14.0	2.0	4.0	12.0	32.0	2.0	4.0	20.0	34.0	4.0
k99_222119_14	-;		K02881;	K02881	8.0	4.0	8.0	42.0	0.0	1.0	4.0	11.0	2.0	2.0	8.0	2.0	4.0	0.0	4.0	40.0
k99_191401_3_k99_211447_15_k99_21396_2_k99_56958_27_k99_97744_59	-;-;PF14698;PF14698;PF00206;	PF14698;PF14698;PF14698;PF14698;	K14681;K01755;K14681;K01755;K14681;K01755;K14681;K01755;K14681;K01755;	K01755K01755K01755K01755K01755	0.0	6.0	2.0	22.0	0.0	2.0	1.0	7.0	0.0	2.0	0.0	4.0	0.0	10.0	2.0	22.0
k99_239047_6	-;		K03522;K22432;K00248;	K03522	6.0	20.0	28.0	40.0	1.0	5.0	8.0	16.0	0.0	12.0	22.0	22.0	2.0	20.0	20.0	36.0
k99_223797_15_k99_31548_1_k99_77646_2	-;-;-;		K00001;K11440;K04072;K00217;K13954;K18602;K17866;K00002;K04072;K00380;K11173;K13954;K01125;K01027;K13921;	K04072K04072K13921	0.0	24.0	28.0	32.0	0.0	10.0	10.0	12.0	0.0	14.0	40.0	22.0	0.0	26.0	28.0	24.0
k99_133716_33_k99_203889_1	-;PF00294;		K21056;K00847;K22026;K18126;K18478;K21057;K00852;K00874;K21056;K00847;K22026;K18126;K18478;K21057;K00852;K00874;	K00874K00874	0.0	8.0	10.0	24.0	0.0	3.0	4.0	10.0	0.0	4.0	14.0	16.0	0.0	6.0	4.0	16.0
k99_132984_18	-;	PF08841;			0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
k99_132984_17	-;	PF02287;	K06122;K13920;	K13920	10.0	24.0	42.0	38.0	1.0	9.0	17.0	10.0	0.0	12.0	50.0	18.0	6.0	18.0	30.0	18.0
k99_132984_14	-;		K04026;	K04026	42.0	72.0	96.0	104.0	5.0	24.0	44.0	38.0	10.0	28.0	76.0	42.0	14.0	60.0	80.0	90.0
k99_132984_15	-;	PF02286;			16.0	16.0	46.0	98.0	3.0	2.0	17.0	21.0	6.0	8.0	50.0	38.0	2.0	10.0	38.0	72.0
k99_117432_2_k99_138531_104_k99_138944_2_k99_15105_1_k99_1877_4_k99_20028_1_k99_213897_3_k99_214298_2_k99_236289_1_k99_59700_1_k99_88573_1	PF02770;PF08028;PF08028;PF08028;-;-;-;-;unclassified;PF02770;-;		K15389;K11718;K00249;K09478;K18402;K00248;K11731;K15389;K11718;K00249;K09478;K18402;K00248;K11731;K15389;K11718;K00249;K09478;K18402;K00248;K11731;K15389;K11718;K00249;K09478;K18402;K00248;K11731;K15389;K11718;K00249;K09478;K18402;K00248;K11731;K15389;K11718;K00249;K09478;K18402;K00248;K11731;K15389;K11718;K00249;K09478;K18402;K00248;K11731;K15389;K11718;K00249;K09478;K18402;K00248;K11731;K11410;K15389;K11718;K00249;K09478;K18402;K00248;K11731;K15389;K11718;K00249;K09478;K18402;K00248;K11731;	K00248K00248K00248K00248K00248K00248K00248K00248K11410K00248K00248	12.0	6.0	34.0	6.0	3.0	2.0	15.0	3.0	2.0	2.0	28.0	4.0	6.0	4.0	28.0	6.0
k99_217283_2_k99_35802_7	-;PF02895;	PF07194;PF02895;	K03412;K02487;K03320;K06596;K03407;K11526;K13490;K11444;K03412;K02487;K03320;K06596;K03407;K11526;K13490;K11444;	K03407K03407	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_238718_22	-;	PF00208;	K00263;K00261;K00262;K00260;	K00262	48.0	174.0	326.0	154.0	9.0	66.0	128.0	59.0	10.0	58.0	208.0	62.0	22.0	198.0	386.0	150.0
k99_129405_11_k99_13206_1_k99_149482_6_k99_175473_1_k99_229963_2_k99_24649_4_k99_54900_2_k99_97744_85	PF00312;PF00312;-;-;-;-;-;PF00312;		K02956;K02956;K02956;K02956;K02956;K02956;K02956;K02956;	K02956K02956K02956K02956K02956K02956K02956K02956	0.0	18.0	20.0	0.0	0.0	7.0	10.0	1.0	0.0	12.0	16.0	2.0	0.0	14.0	22.0	0.0
k99_132984_12	PF13685;		K13921;	K13921	4.0	18.0	20.0	16.0	0.0	6.0	8.0	5.0	0.0	8.0	16.0	10.0	2.0	8.0	16.0	16.0
k99_132462_50_k99_234335_1_k99_235907_1_k99_255182_3	-;-;PF00155;PF00155;		K10206;K10206;K10206;K10206;	K10206K10206K10206K10206	0.0	14.0	16.0	8.0	0.0	4.0	4.0	0.0	0.0	2.0	8.0	0.0	0.0	10.0	18.0	4.0
k99_201322_3	PF02384;		K03169;K08282;K03580;K06877;K07317;K07316;	K07317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0
k99_81897_1	PF05000;	PF00623;PF05000;PF04983;PF04998;	K03046;K13797;	K03046K13797	18.0	30.0	84.0	42.0	2.0	9.0	24.0	15.0	6.0	18.0	84.0	20.0	12.0	28.0	84.0	60.0
k99_179367_12_k99_190421_11	-;-;		K02035;K01999;K02027;K02035;K01999;K02027;	K02027K02027	0.0	0.0	0.0	12.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	12.0
k99_255070_11	-;		K01200;K00700;K21767;K01214;	K00700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Q496H8	-;				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_106442_1_k99_144517_1_k99_194473_1_k99_83755_1_k99_8383_1	-;-;-;PF00005;-;		K16787;K10440;K16786;K17215;K10441;K10562;K16785;K17214;K17210;K10545;K10548;K10542;K10544;K02056;K17206;K17204;K10551;K10558;K10554;K17207;K01990;K10539;K13926;K01998;K01996;K07710;K01995;K05776;K10548;K16787;K10440;K16786;K17215;K10441;K10562;K16785;K17214;K17210;K10545;K10548;K10542;K10544;K02056;K17206;K17204;K10551;K10558;K10554;K17207;K01990;K10539;K13926;K01998;K01996;K07710;K01995;K05776;K16787;K10440;K16786;K17215;K10441;K10562;K16785;K17214;K17210;K10545;K10548;K10542;K10544;K02056;K17206;K17204;K10551;K10558;K10554;K17207;K01990;K10539;K13926;K01998;K01996;K07710;K01995;K05776;K16787;K10440;K16786;K17215;K10441;K10562;K16785;K17214;K17210;K10545;K10548;K10542;K10544;K02056;K17206;K17204;K10551;K10558;K10554;K17207;K01990;K10539;K13926;K01998;K01996;K07710;K01995;K05776;	K10548K10548K10548K10548K10548	2.0	8.0	34.0	16.0	0.0	4.0	9.0	9.0	0.0	2.0	34.0	14.0	2.0	8.0	38.0	16.0
k99_231707_1_k99_71997_1	PF00905;-;	PF00905;PF00905;	K05366;K05366;	K05366K05366	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k99_56315_1	-;		K21573;	K21573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k99_141654_4	PF01593;		K00266;K00264;K00284;K17792;	K00264	2.0	6.0	4.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	4.0	0.0	2.0	8.0	8.0	0.0
k99_3618_2	-;				28.0	12.0	16.0	24.0	5.0	2.0	3.0	1.0	0.0	0.0	10.0	4.0	12.0	12.0	14.0	26.0
k99_104763_2_k99_107982_4_k99_108237_7_k99_135308_1_k99_135308_2_k99_140586_22_k99_145972_7_k99_15463_35_k99_164273_2_k99_166248_1_k99_172231_1_k99_184171_80_k99_190090_6_k99_19343_4_k99_1984_4_k99_21547_3_k99_227551_41_k99_228532_22_k99_228532_23_k99_24360_2_k99_29988_3_k99_30207_2_k99_35777_1_k99_56958_13_k99_58717_1_k99_64271_20_k99_89527_1_k99_97744_20	-;PF00072;-;-;PF00072;-;-;PF00072;-;PF00072;-;-;-;-;PF08769;-;-;PF00072;-;-;-;-;-;PF00072;-;-;PF00072;PF00072;	PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF00072;PF08769;PF08769;PF00072;PF08769;PF00072;PF08769;	K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;K07699;	K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699K07699	0.0	2.0	2.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	4.0
k99_223398_1	-;	PF02874;	K02114;K02112;K02133;K17982;K00700;K09499;	K02133	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k99_66550_21	PF17876;	PF00773;	K12573;K12585;K01147;	K12573	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
k99_3618_8	PF01676;		K15633;	K15633	8.0	12.0	8.0	70.0	3.0	3.0	2.0	17.0	0.0	6.0	14.0	20.0	8.0	8.0	6.0	40.0
k99_207824_1_k99_253592_2_k99_253600_2	PF11306;-;-;	PF11306;DUF3108;PF11306;DUF3108;PF11306;DUF3108;			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k99_132984_27	-;				0.0	0.0	2.0	12.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	2.0
k99_132984_20	-;		K16927;K08696;K04025;K04027;K08700;K04028;	K04027	0.0	2.0	6.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	8.0	0.0	0.0	2.0	6.0	0.0
k99_132984_22	-;				0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A0A0MSE1_H3BLT0_Q15303_k99_102237_1_k99_104995_28_k99_105511_1_k99_108047_3_k99_110354_2_k99_128420_14_k99_146789_20_k99_15148_5_k99_157201_1_k99_169634_22_k99_176652_20_k99_178318_2_k99_18154_1_k99_183862_6_k99_19632_47_k99_201107_2_k99_201139_2_k99_209149_17_k99_212141_11_k99_224060_29_k99_228981_4_k99_233635_2_k99_244225_1_k99_45991_5_k99_47640_2_k99_67193_7_k99_68290_1_k99_69740_11_k99_84241_2_k99_92082_3_k99_97720_1	-;-;-;PF00528;-;-;PF01098;-;PF02457;PF03023;-;-;-;-;-;-;-;PF03547;PF12645;-;-;PF12645;-;PF07613;PF01808;-;PF02517;PF03547;-;-;-;PF01098;-;-;	PF16472;DUF5050;PF01808;PF12730;PF12730;PF02378;DUF3575;PF12099;PF12645;PF00005;PF12645;PF01808;PF01943;PF14667;PF01808;PF01808;	K00602;K06943;K03574;K15577;K15599;K04091;K15554;K15552;K00878;K02051;K02050;K15557;K02049;K11951;K24180;K03588;K02563;K05837;K05364;K03574;K18672;K18908;K02761;K02788;K02787;K03574;K24180;K02068;K16014;K02021;K16013;K06147;K06148;K02015;K02013;K06073;K00602;K06943;K18672;K09696;K24180;K02015;K02013;K06073;K19418;K20946;K16553;K16696;K16695;K16694;K16693;K18799;K16712;K03379;K01992;K02440;K03980;K06409;K19431;K03328;K03574;K03588;K02563;K05837;K05364;K00602;K06943;K00602;K06943;	K00602K03574K15599K24180K05837K03574K18672K18908K02761K03574K24180K02015K00602K18672K09696K24180K02015K03328K03574K05837K00602K00602	6.0	38.0	68.0	18.0	0.0	11.0	23.0	4.0	4.0	16.0	58.0	6.0	6.0	42.0	58.0	36.0
k99_2753_1	-;		K01955;K03802;K09181;K16181;	K01955	8.0	6.0	22.0	18.0	0.0	1.0	7.0	3.0	0.0	0.0	8.0	4.0	2.0	2.0	16.0	12.0
k99_195882_1	PF00438;	PF00438;PF02773;PF02772;	K13140;K00789;	K00789	0.0	16.0	40.0	20.0	0.0	4.0	16.0	8.0	0.0	8.0	34.0	12.0	0.0	14.0	32.0	28.0
k99_60293_3	PF09294;		K06882;	K06882	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_146304_2_k99_4255_1	-;-;	PF13505;PF13505;			2.0	2.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	4.0	4.0	8.0	0.0
k99_60293_6	PF03990;		K21688;	K21688	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
k99_177709_2	PF00861;		K02881;	K02881	8.0	8.0	18.0	20.0	0.0	1.0	3.0	9.0	2.0	2.0	6.0	2.0	4.0	4.0	10.0	18.0
k99_60293_5	PF14286;	PF16822;			0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_217135_12_k99_53550_2_k99_81928_9	-;PF16320;-;	PF00542;PF00542;PF00542;	K02935;K12182;K13577;K02863;K02935;K12182;K13577;K02863;K02935;K12182;K13577;K02863;	K02935K02935K02935	10.0	2.0	20.0	110.0	2.0	0.0	4.0	41.0	4.0	0.0	26.0	30.0	4.0	6.0	44.0	86.0
k99_188411_8_k99_245249_1_k99_40557_1_k99_98297_7	-;-;-;PF01842;	PF10369;PF10369;PF10369;PF10369;	K04767;K07507;K16785;K00003;K01653;K04767;K07507;K16785;K00003;K01653;K04767;K07507;K16785;K00003;K01653;K04767;K07507;K16785;K00003;K01653;	K01653K01653K01653K01653	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0
k99_206757_1	-;				0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
k99_260059_1	-;	PF00006;PF01813;PF00306;PF01990;PF01992;PF01991;PF02874;	K02117;	K02117	0.0	0.0	0.0	12.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	18.0
H7BZQ8_P04746	-;unclassified;				924.0	1344.0	2356.0	2416.0	192.0	491.0	766.0	710.0	58.0	254.0	768.0	516.0	326.0	860.0	1572.0	1130.0
k99_111779_1	-;	PF00281;	K02931;	K02931	10.0	28.0	36.0	40.0	1.0	7.0	9.0	20.0	0.0	6.0	14.0	14.0	12.0	38.0	70.0	114.0
k99_116935_2	PF01713;	PF00488;	K07456;	K07456	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_256307_1_k99_27722_1	-;-;				18.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
P20592_k99_151825_1_k99_192564_20_k99_193655_297_k99_197341_58_k99_198981_22_k99_223686_34_k99_82418_1	PF02583;-;PF00389;PF00990;-;PF16321;-;PF00924;	PF00990;PF17941;PF13090;PF00924;	K07807;K21600;K16843;K18916;K15893;K00090;K18347;K00122;K00032;K11529;K03473;K00050;K00018;K04496;K06410;K03778;K22229;K00058;K00015;K21021;K05808;K05809;K03733;K00937;K03442;K22044;K16053;K16052;	K21600K00018K21021K05808K00937K22044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0
Q86XI8	PF17738;				2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_46187_1	PF05621;	PF00004;	K03696;K03695;	K03695	4.0	14.0	28.0	24.0	1.0	5.0	14.0	10.0	0.0	6.0	30.0	10.0	2.0	22.0	46.0	30.0
H7BZ24_P05451_P48304	-;PF00059;-;				308.0	94.0	200.0	260.0	59.0	34.0	60.0	98.0	16.0	30.0	118.0	48.0	104.0	80.0	168.0	178.0
k99_205760_5_k99_228150_1_k99_56637_4	-;-;-;	PF00889;PF00889;	K02357;K02357;K02357;	K02357K02357K02357	26.0	34.0	80.0	66.0	2.0	10.0	23.0	10.0	6.0	20.0	90.0	14.0	14.0	26.0	78.0	24.0
k99_154721_69	-;		K02881;	K02881	2.0	6.0	22.0	20.0	0.0	1.0	5.0	7.0	0.0	2.0	24.0	6.0	0.0	6.0	20.0	20.0
