ProteinSubgroup	MQ_DB2Metagenome_GUT_10	GP_DB2Metagenome_GUT_08	MQ_DB2Metagenome_GUT_08	GP_DB2Metagenome_GUT_10	GP_DB2Metagenome_GUT_09	MQ_DB2Metagenome_GUT_06	MPA_DB2Metagenome_GUT_09	GP_DB2Metagenome_GUT_06	MPA_DB2Metagenome_GUT_08	PD_DB2Metagenome_GUT_08	PD_DB2Metagenome_GUT_06	PD_DB2Metagenome_GUT_09	PD_DB2Metagenome_GUT_10	MQ_DB2Metagenome_GUT_09	MPA_DB2Metagenome_GUT_06	MPA_DB2Metagenome_GUT_10
5ae9ed01-7fb3-4247-abfe-5939bd03fcbe	704	312	116	1368	862	46	229	240	104	244	116	594	1268	502	49	544
cde2c0cc-7c21-49cc-9d29-4020bdcc38eb	6	2	0	8	2	0	1	4	1	8	2	2	2	0	0	3
e5c2d5f1-0489-4c37-a4d2-4825e6508056	26	14	10	54	18	6	4	32	6	14	12	34	56	16	5	24
9c3994f9-4ebc-4f71-82a1-9b4217f63a80	4	8	4	14	18	0	7	2	2	4	2	16	12	20	1	5
336ebd4a-70fd-4923-ae17-1728fbff4d7c	4	6	2	12	10	0	4	2	2	2	2	10	16	12	1	5
1221585d-b00e-4661-9a19-4df258d197a1	6	0	0	14	0	0	0	4	1	4	2	0	20	0	1	3
f2e306c5-e645-40ee-8de5-ab242a861186	0	2	0	0	2	0	0	0	0	6	0	6	2	0	0	0
f69cd649-67d3-4b2e-a16a-02d2d00c21b8	0	4	2	0	8	0	0	0	0	4	0	24	0	0	0	0
df832248-e1b0-42a8-afd4-e696bda46099	0	0	0	0	0	2	0	4	1	4	2	0	0	0	0	0
f6b616f4-b015-4e2b-9b19-bef7bca66735	0	2	0	2	2	0	1	0	1	8	0	2	0	4	0	0
c04d905a-26a7-4cd0-8e43-3eeeff44255a	20	16	12	40	38	6	10	40	6	18	20	46	26	18	8	16
7d8e917a-b677-468f-8e83-649b121c64b1	4	8	4	10	20	0	6	2	2	4	2	18	8	18	1	4
8c792868-96e7-455e-a879-9b4571d3b934	0	4	0	0	6	0	0	0	0	10	0	14	0	8	0	0
0d1e5b53-58d9-4812-8d62-855505092bd1	4	2	0	10	2	0	0	4	0	6	4	6	8	0	1	3
59732400-1717-40de-a1f8-c5ecebd26bfe	6	6	4	16	16	0	6	0	1	4	0	14	12	14	0	6
d01850ac-8dfb-4926-913a-f4ccb5d36293	2	0	0	0	4	0	0	0	0	0	0	20	0	0	0	0
5acd788c-99d2-4126-befc-685da4d719ef	18	10	8	58	38	4	12	12	6	10	4	36	42	40	2	22
84dfa667-8ce1-4705-bf88-1314070a1564	0	2	0	2	2	0	0	0	0	6	0	6	2	0	0	1
bdd0fb6d-8ec9-40b2-a8f8-6c429967969f	0	4	4	6	6	0	3	0	1	4	0	6	12	8	0	4
a4cdef88-d19c-4a79-b11f-75af4403df43	0	0	0	6	4	0	1	4	1	4	2	2	0	0	1	3
7ba4b238-5972-4c93-9ca5-b0ef59def5e3	0	10	2	0	16	0	3	4	1	10	0	6	0	20	0	0
f0f0e032-4d19-4613-9db1-42966a26df08	8	4	2	12	0	6	0	12	2	8	6	0	8	0	2	5
967352db-f4aa-494d-b6c2-5378209737c4	0	0	0	0	6	0	1	2	0	0	4	12	0	0	1	0
b173ac3c-dc10-419c-906f-ecd002bf2c99	0	0	0	4	4	0	0	0	0	0	0	20	4	0	0	1
68072a5c-0afb-422d-9538-1d0f53a974b5	0	0	0	0	4	0	0	0	0	2	0	20	0	0	0	0
6f25fd1e-31ae-4fb2-9ee4-7bf4d6a4a4cb	4	10	4	10	20	0	7	2	2	4	2	16	8	20	1	4
2b5dc0e2-7d11-41aa-b209-3a352c762eeb	0	2	4	0	10	0	4	2	3	2	2	8	24	16	0	0
e5557c66-42ad-49c3-8f11-49dc9b86decd	26	48	30	46	56	14	20	50	19	54	24	48	48	68	9	21
4c1598db-02c1-43f7-b51f-1f6739d8148e	10	88	12	250	176	0	65	12	35	66	2	146	50	44	0	20
67811bd4-f71d-4876-9fb0-06ae8b229e75	2	34	14	10	48	2	12	4	10	46	2	60	12	44	1	3
e49633f9-dfcd-4b30-b6c7-ca51b0995812	6	32	20	6	30	0	9	2	13	28	2	26	6	34	0	3
26444949-bd26-4f97-b32f-db5ab74e411e	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	2
0746a69a-280e-465a-9f21-8048fa3951e2	6	0	0	6	0	0	0	0	0	0	0	0	6	0	0	3
2ac35ab8-a2c3-4a01-938a-5b62486603c6	0	2	2	0	4	0	0	0	1	2	0	12	0	0	0	0
3eebb960-405e-459c-adce-fb351a198d4e	86	236	34	440	530	4	127	188	73	176	114	392	244	148	43	125
d63f2283-e45d-4d43-a651-d58915960b17	4	2	2	8	10	0	1	2	1	6	0	16	8	4	0	3
d521784f-975b-4aaa-8bc8-1ddd17376ff0	4	14	8	16	6	0	1	2	5	14	0	4	10	4	0	5
7e6b5ba9-fb3e-41c0-a7b2-53304d252a12	2	2	2	12	0	0	0	0	1	2	0	0	6	0	0	3
eba72865-5af1-4d2e-992a-fc4306544cc5	72	122	70	200	204	40	74	176	50	114	94	178	160	194	35	77
df457d61-b7c5-47d2-9f90-9be89ba6ce29	4	10	6	8	14	0	5	4	4	12	2	24	6	14	0	4
56a67eb3-8116-4cd7-ba24-e1f8b89a08ba	20	46	8	148	102	6	22	84	14	24	34	34	124	30	19	55
d0da7576-7dab-4871-a313-db2328a692c4	6	6	4	20	2	4	0	12	2	6	6	2	26	0	2	3
e5e49e29-5e74-4fbd-b1c2-9eaec4807b18	2	0	0	2	4	0	0	0	0	0	0	12	2	0	0	1
12c7f74a-0b79-41db-9527-90323fecf437	4	0	0	2	0	2	0	24	0	0	14	2	0	0	6	0
645f3330-301a-49cd-a285-64b360d50336	6	8	6	10	8	0	3	14	3	6	8	8	14	6	2	4
3bb94299-434c-4f50-b0c0-3c1c3d349733	92	144	20	596	242	10	73	194	43	78	100	122	280	66	34	123
d1cf0656-ad0d-4cd9-b000-3541df46f71d	0	0	0	0	6	0	0	0	0	0	0	14	0	0	0	0
eadf9c25-2a3a-4d35-8210-cca99bdc8a31	42	40	28	106	88	20	26	86	16	34	42	68	66	90	19	45
1effc12f-b639-488a-835b-8d97c0ac5e1a	0	2	2	6	4	0	1	0	0	18	0	34	16	12	0	3
dac4ba7e-6061-414e-a543-7d61b4b3f9ff	4	16	8	4	10	0	1	2	4	16	2	10	4	4	0	2
53cb313d-5f3b-463b-8dea-1ad1c7da1229	0	2	2	6	2	0	0	0	2	2	0	2	8	16	0	3
121c04a3-5855-4243-bcf3-b3b1febdd7eb	0	8	4	0	4	0	0	2	4	10	2	12	0	0	0	0
43f7e092-00eb-485e-8af4-7cd349093582	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
72ebeca7-bb0d-4676-b8ed-5575fe1bcbdd	204	224	34	1062	418	26	122	294	68	130	132	244	656	128	67	337
fd4d5744-b249-4c0b-a357-623836d2d123	10	14	8	16	18	0	6	6	6	14	4	26	12	14	1	6
b77535c0-bb75-4aa8-b64d-9873da87f2cf	4	0	0	2	0	0	0	2	0	0	2	0	2	0	0	1
6930b41d-8b02-45a0-b730-c95bcfa41872	0	4	2	0	4	0	0	0	1	2	0	12	0	0	0	0
8b9666d8-69be-428e-8b39-24fd0c5b12c9	0	2	2	0	6	2	1	4	1	2	2	14	0	6	0	0
f798ee96-d433-47cd-a299-0eaa5e61ff87	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	1
4c42962d-53ba-418d-9ca0-f52d59c3e618	0	0	0	0	2	0	0	2	0	6	4	4	0	0	1	0
ba98c99f-17a4-4fa3-81a3-6c19a399994d	38	62	28	124	100	18	39	74	26	48	32	86	94	82	13	43
df12261b-ade2-4077-9988-bc9ed86be217	24	2	2	36	4	0	1	0	1	4	2	2	36	2	0	16
24e1f9df-26bf-4a2b-9abb-7d8fb188d80f	0	2	2	4	0	0	0	2	1	4	0	0	2	0	0	0
f4cc6ab2-d7ff-4ade-b262-c52e4e1b6247	0	2	4	0	10	0	4	2	3	2	2	8	0	16	0	0
58a2d4b6-f8cc-4faa-a019-8c6b3edd77fd	4	60	26	42	106	6	43	10	21	60	6	134	44	88	2	15
9cf1bdb8-2832-4c87-b0af-8f335f3022f4	0	0	0	0	2	0	1	0	0	6	0	2	0	0	0	0
8f88fc84-7799-4aad-a390-afa442ce18b1	4	28	8	14	42	0	7	0	7	42	0	52	14	30	0	4
b9c67a13-8067-48a9-96f0-277b9c444c6b	36	262	98	150	510	28	181	54	100	258	28	568	156	358	11	58
9e11bf91-6ab5-4c91-a7e2-36afd2f40028	6	8	6	10	8	0	1	4	3	4	2	8	10	12	1	4
e47e7ddd-e734-481a-bc23-53d33ef8b9dc	6	22	10	14	16	0	6	4	8	32	2	28	16	14	1	3
7275c4ae-d89f-418d-befc-2087218bcf42	10	6	2	28	2	0	0	0	3	6	0	2	28	12	0	6
80ddf823-4596-4b21-abc5-3e15cf722f1e	4	38	16	12	36	0	11	4	12	44	2	44	14	34	1	3
4f23bd71-0923-4fbd-8332-8832acc899d3	82	262	96	256	522	28	190	58	100	258	30	582	246	372	13	93
3deebc9c-0925-4393-acfa-f77205921b30	2	2	0	14	4	0	0	4	1	6	4	2	22	8	0	5
11730a78-c8c8-476c-b9c7-2db31f1950b5	4	32	14	22	28	0	11	4	10	40	2	44	22	34	1	6
4a321571-777e-4c70-9bdf-d8a64bf069a5	18	12	12	46	2	8	1	20	4	14	12	4	44	6	2	13
42db01d4-2750-4c63-a6a6-5858970406c6	2	0	2	2	0	0	0	0	0	16	0	32	6	12	0	1
0af6a3ae-d44b-4b65-afe4-d1b98dfe1525	66	226	90	200	442	18	156	36	84	214	18	488	178	304	8	77
3386d50c-a2d4-43ad-a4e7-f8d8f60f053c	0	16	6	6	16	0	7	0	6	30	0	28	8	8	0	1
53f9baef-259b-4838-b5d1-f9a215c13ca4	0	14	10	0	28	0	2	0	4	26	0	50	4	36	0	0
63167fb1-7c30-4802-9dbf-7163fd4c9cf6	12	126	58	64	254	14	95	28	51	150	16	354	72	198	5	20
85d0a2f8-206e-4935-9a0d-3e3cbdc8ca9c	6	38	16	16	40	2	15	8	12	44	4	50	18	38	2	5
e2f06df9-9f3e-4ec6-9b7b-0a9493ef0117	68	224	80	212	430	20	161	44	86	228	24	510	204	308	10	77
8ebfa1e1-6ea5-4c89-b221-acba86ba713b	0	6	4	0	4	0	2	2	3	6	2	2	0	10	0	0
ac92c6c9-4e24-4b5b-82c5-7e1ade3192ce	2	14	8	4	30	2	8	4	4	10	2	26	4	42	1	2
c67c6b14-bcb2-448e-b744-6f96807f781a	6	42	24	18	92	6	34	14	14	56	6	128	22	72	2	8
47bd5550-96a1-4612-9fc5-d92d4c5ac154	2	8	4	6	6	0	3	2	3	16	0	12	8	10	0	2
529b136d-145c-4d73-bfb7-0a106587c3f9	6	12	8	12	24	0	4	0	3	8	0	18	10	28	0	5
d7a34190-c45b-402e-b579-08fd4fea8769	2	6	4	0	14	0	4	0	2	4	0	10	0	14	0	0
eafbb108-e2ae-4e28-9f05-6dffcae25ef7	10	46	20	28	46	0	12	6	15	60	4	54	24	44	1	8
5a92187d-f6e5-4c8d-9431-e7359595708c	46	68	34	160	78	28	23	138	23	50	66	72	138	78	23	50
6cd29171-870e-44e3-8f09-e7500a61c732	14	100	46	50	190	14	75	26	41	110	14	238	60	130	5	17
04d02a81-f588-40aa-980f-0e8c5b53acd4	12	78	32	56	132	10	65	20	36	118	12	252	64	112	5	16
64b1072f-fd18-4782-a2ad-a33c125cc39c	14	132	42	98	224	14	76	32	47	144	20	242	102	168	5	34
0f506521-d5c8-4c8a-bfd0-85b79161bae3	2	6	4	6	6	0	3	0	3	10	0	12	8	10	0	2
b34c1430-5726-4947-a407-f81db3fe7201	2	4	4	6	6	0	3	0	2	8	0	12	8	10	0	2
d18cc24f-922e-4c2d-b70d-f9e913744ade	66	156	60	200	268	16	96	38	62	140	22	264	178	190	8	70
7ada211c-4a6e-44ba-81b2-65e5cb03af2a	0	12	6	0	18	0	5	2	2	10	2	12	0	22	0	0
1805159c-e79c-4aa6-b6ac-824d0e3ae511	2	4	2	6	6	0	3	0	2	8	0	12	10	10	0	2
f6a0f696-1ca9-4a88-b44e-f1799cd5e774	4	10	6	2	18	0	6	0	4	12	0	16	2	20	0	0
c7d09ccf-9c29-491d-bb07-13fa211973a9	2	2	0	12	2	0	0	0	1	2	0	2	20	8	0	4
1c82166f-0deb-4658-9d02-d03418c829a1	4	34	12	14	48	2	12	4	10	50	2	60	14	44	1	4
c2805c47-89ce-4093-9431-dfa00fa71d54	52	56	28	140	114	4	36	8	20	76	4	192	122	110	3	45
5d4beeea-6826-4792-8db7-1d1cfc40ae7b	6	32	12	20	34	0	7	4	9	44	2	46	20	36	1	6
60b4a945-1664-4075-a2b6-923f26f20552	10	2	2	40	4	2	2	14	1	2	6	2	50	6	0	10
ba22cb4d-c96a-4674-96d2-1ecff5bd1a08	4	10	6	4	12	0	2	0	5	8	0	12	4	14	0	2
656f58ca-a4b2-46a3-a4a9-546ed9d39f1a	66	112	52	170	224	18	80	34	42	114	16	296	150	184	8	56
acbaa605-3a26-4c33-a75d-368a5912dfe9	2	12	8	6	14	0	3	4	4	6	2	10	6	20	1	2
28c1f10a-8730-4d4b-bf9a-cec5c697cbdb	2	8	6	4	16	0	5	0	3	6	0	14	4	20	0	2
8aa25821-3e48-4810-8250-6a8cb4a51c37	76	206	78	234	418	24	148	52	75	218	28	484	224	296	12	86
6c7090f0-9407-4199-b195-a4a77df861c7	2	10	4	2	16	0	3	2	1	10	2	14	2	14	0	1
d5e9dc8e-7660-4ab0-ae95-b05f879b7441	0	16	6	6	24	0	11	0	6	30	0	34	8	12	0	1
