Group	PFAM_PROPHANE	PFAM_MANTIS	KO_MANTIS	KO_MANTIS_CONSENSUS	GP_DB1UniProt_S03	GP_DB1UniProt_S05	GP_DB1UniProt_S07	GP_DB1UniProt_S11	GP_DB1UniProt_S08	GP_DB1UniProt_S14	MPA_DB1UniProt_S03	MPA_DB1UniProt_S05	MPA_DB1UniProt_S07	MPA_DB1UniProt_S11	MPA_DB1UniProt_S08	MPA_DB1UniProt_S14	MQ_DB1UniProt_S03	MQ_DB1UniProt_S05	MQ_DB1UniProt_S07	MQ_DB1UniProt_S11	MQ_DB1UniProt_S08	MQ_DB1UniProt_S14	PD_DB1UniProt_S03	PD_DB1UniProt_S05	PD_DB1UniProt_S07	PD_DB1UniProt_S11	PD_DB1UniProt_S08	PD_DB1UniProt_S14
Q8G832	unclassified;				0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A6A5	PF01609;	DUF772;PF05598;PF13751;	K01990;K07487;K21688;	K07487	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A6A6	-;		K06989;K03340;	K03340	74.0	96.0	21.0	74.0	36.0	106.0	52.0	70.0	19.0	61.0	29.0	46.0	47.0	60.0	40.0	78.0	26.0	64.0	64.0	82.0	21.0	65.0	33.0	48.0
B0N0J0	PF07261;		K02086;	K02086	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q8A6A7	-;	PF07499;PF01330;	K03550;K04096;K03581;	K03550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0J1	-;				0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A6A8	-;	PF12954;DUF3843;			1.0	3.0	2.0	2.0	6.0	2.0	1.0	2.0	2.0	2.0	3.0	1.0	0.0	2.0	4.0	3.0	8.0	3.0	1.0	3.0	2.0	3.0	6.0	1.0
A0A1C7I7A5	-;	PF01761;	K19969;K21342;K13829;K16020;K01735;K01524;	K01735	1.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
P30871	-;	PF01928;			0.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P30870	-;	PF03710;			0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7IHB6	-;	PF02572;	K02232;K19221;K00798;K16092;	K19221	6.0	3.0	0.0	8.0	2.0	1.0	5.0	2.0	0.0	7.0	2.0	0.0	7.0	5.0	0.0	9.0	4.0	1.0	6.0	4.0	0.0	8.0	2.0	0.0
B0N0I1	PF00440;				0.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
A0A1C7IHB4	PF00528;		K02026;K17239;K10198;K17313;K05815;K15772;K17317;	K02026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0I3	-;				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G826	PF02838;	PF00728;	K01197;K04618;K12373;K15719;K01190;K01207;K01218;K14459;	K12373	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q8G7Q4	PF01026;		K03424;	K03424	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0I6	-;		K17763;K04074;K18682;K07484;K21471;K06997;	K04074	2.0	6.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	3.0	4.0	0.0
B0N0I7	-;	PF03838;	K03700;	K03700	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7IHB1	-;				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
B0N0I8	PF00905;	PF00905;	K12551;K03693;K18770;K03814;K05365;K05366;K21464;K05367;K12555;K04478;	K05366	7.0	11.0	1.0	11.0	6.0	4.0	7.0	6.0	0.0	6.0	3.0	1.0	7.0	6.0	2.0	15.0	4.0	3.0	9.0	10.0	1.0	10.0	5.0	1.0
A0A1C7IHB8	-;		K15984;K03212;K15331;K07003;K00557;K00569;K03428;K03215;	K03215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0I0	PF00041;	PF00754;PF13402;	K06766;	K06766	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I7D9	-;		K07668;	K07668	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
P30864	-;				2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I7D7	-;		K12661;K00065;K03366;K03793;K11539;K13370;K00019;K14713;K18337;K00059;K01489;	K00059	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0
B0N0G7	-;				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
P30860	-;	PF00528;PF00497;PF00005;	K09996;	K09996	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0
B0N0H1	-;	PF12897;			4.0	3.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
P17888	-;		K04066;K10742;	K04066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G7P5	PF00884;	PF00884;	K01002;K01992;K19005;K01138;	K19005	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4IEZ4	PF03965;	PF03965;	K02171;K02546;	K02171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Q8G813	-;		K01591;K00942;	K00942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4IEZ3	PF05569;		K03641;K02172;K02547;K03646;K03832;	K02172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0
Q8G814	PF00215;	PF00215;	K13421;K01591;	K01591	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I7D1	-;	PF00512;	K14980;K07650;K18345;K18072;K11617;K18350;K18351;K07641;K20487;K07640;K01768;K03406;K07642;K07644;K19609;K11525;K11527;K07638;K10819;K07639;K02484;K02660;K02482;K18143;K19694;K07654;K07653;K07315;K07678;K07711;K05874;K20974;	K18350	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0
C4IEZ8	PF03446;	PF01450;	K00053;	K00053	17.0	22.0	3.0	16.0	21.0	20.0	13.0	17.0	3.0	13.0	10.0	12.0	15.0	12.0	6.0	18.0	12.0	13.0	15.0	18.0	3.0	16.0	21.0	12.0
Q8G7P0	PF01061;		K09691;K01421;K01992;K09692;K09690;K09688;	K09690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4IEZ9	-;		K00929;	K00929	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I7C6	-;		K03587;K01928;K05362;K15792;K01932;K03802;	K01928	0.0	2.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	5.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	2.0	1.0	1.0
P30855	-;	PF00512;	K07679;	K07679	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0
P77509	-;		K23547;	K23547	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
P30850	-;		K01147;	K01147	0.0	3.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
B0N0G0	PF08220;		K16785;K01807;K02081;K11534;K02444;K03477;K20271;K02530;K02430;K06608;K22103;K02436;K02468;K03436;K21601;K03655;	K03436	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	2.0	7.0	0.0	0.0
Q8G804	-;		K18917;	K18917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G805	-;		K01761;K01760;K01739;K01758;K01620;	K01760	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A0A1C7IHD5	-;				0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
A0A1C7IHD2	-;		K01156;K07316;	K01156	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	2.0	1.0
PRDX1_HUMAN	-;	PF10417;	K11186;K13279;K03386;K20011;K17783;K11185;	K13279	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P27278	-;		K03574;K06211;K00954;	K06211	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A6E5	-;		K19611;	K19611	23.0	38.0	14.0	71.0	11.0	26.0	19.0	35.0	9.0	51.0	6.0	12.0	34.0	30.0	30.0	76.0	16.0	24.0	23.0	29.0	14.0	61.0	13.0	9.0
Q8A6E6	-;	PF16215;DUF4876;			13.0	16.0	6.0	8.0	13.0	8.0	11.0	13.0	7.0	8.0	12.0	4.0	13.0	14.0	14.0	9.0	16.0	10.0	14.0	13.0	6.0	7.0	13.0	5.0
Q8A6E7	-;				18.0	26.0	12.0	17.0	0.0	28.0	17.0	23.0	10.0	17.0	1.0	13.0	21.0	21.0	14.0	17.0	0.0	24.0	19.0	19.0	9.0	18.0	1.0	16.0
Q8A6E8	-;				16.0	14.0	6.0	26.0	6.0	13.0	15.0	10.0	5.0	18.0	1.0	5.0	13.0	20.0	10.0	39.0	6.0	21.0	14.0	13.0	7.0	25.0	5.0	5.0
A0A1C7I7F5	-;	PF01081;	K01625;K00874;K01631;	K01625	15.0	10.0	6.0	18.0	11.0	6.0	15.0	9.0	6.0	14.0	3.0	3.0	9.0	5.0	8.0	12.0	10.0	8.0	13.0	10.0	5.0	15.0	8.0	3.0
C4IFA5	PF13514;				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Q8G879	-;		K04077;K22447;	K04077	2.0	2.0	5.0	23.0	20.0	0.0	2.0	1.0	0.0	8.0	10.0	0.0	3.0	3.0	12.0	24.0	8.0	3.0	2.0	2.0	5.0	16.0	6.0	0.0
B0N0N0	PF00486;	PF00486;			1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G7V4	PF01061;		K12056;K12684;K12472;K10953;K12257;K02004;K01421;K01992;K05802;K22051;K06994;K03406;K21449;	K01421	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Q8A6E9	-;	PF13646;			11.0	22.0	7.0	19.0	23.0	29.0	6.0	15.0	2.0	12.0	7.0	17.0	12.0	21.0	12.0	26.0	22.0	26.0	9.0	16.0	6.0	18.0	22.0	14.0
Q8G7V2	PF00881;		K19285;	K19285	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G7V0	PF13416;				0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q8A6D4	-;		K02013;	K02013	3.0	3.0	1.0	5.0	0.0	0.0	2.0	3.0	0.0	2.0	0.0	0.0	3.0	3.0	0.0	4.0	0.0	0.0	2.0	3.0	1.0	3.0	0.0	1.0
Q8A6D5	-;	DUF2284;PF10050;			0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Q8A6D0	-;		K12287;K13730;K08282;K13372;K11751;K01406;K17285;K07004;K00355;K01224;K08591;K12132;K15864;K01083;K19345;K15229;K01179;K01077;K09815;K00504;K01219;K03418;K20276;K01218;K08884;K21449;		10.0	11.0	1.0	3.0	7.0	12.0	6.0	6.0	1.0	2.0	5.0	3.0	12.0	14.0	2.0	6.0	8.0	8.0	14.0	16.0	1.0	3.0	13.0	6.0
A0A1C7I7E7	-;	PF12833;	K02477;K07719;K07718;K02282;K07720;K01768;K10119;K07315;K03413;		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A6D1	-;		K16092;	K16092	15.0	14.0	8.0	23.0	2.0	0.0	10.0	8.0	8.0	17.0	1.0	1.0	18.0	11.0	14.0	32.0	2.0	3.0	13.0	13.0	8.0	21.0	2.0	0.0
A0A1C7I7E4	-;		K03531;	K03531	44.0	53.0	15.0	52.0	36.0	23.0	32.0	46.0	12.0	42.0	27.0	10.0	36.0	38.0	28.0	67.0	36.0	23.0	42.0	57.0	17.0	54.0	44.0	12.0
Q8A6D2	-;	PF01497;	K02016;	K02016	36.0	42.0	9.0	38.0	23.0	27.0	34.0	41.0	7.0	34.0	9.0	13.0	32.0	36.0	16.0	42.0	22.0	24.0	24.0	34.0	7.0	26.0	20.0	12.0
A0A1C7IHG1	-;	PF03447;PF00742;	K12525;K00003;K12524;	K00003	1.0	0.0	0.0	5.0	6.0	3.0	0.0	0.0	0.0	6.0	2.0	0.0	3.0	5.0	0.0	10.0	6.0	1.0	0.0	2.0	0.0	6.0	8.0	2.0
A0A1C7IHG2	-;		K20170;K00508;K15342;K00986;	K00986	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0M7	unclassified;				1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
B0N0M8	-;		K08372;K01173;K04771;	K08372	4.0	2.0	0.0	1.0	4.0	1.0	4.0	2.0	0.0	1.0	2.0	0.0	5.0	4.0	0.0	1.0	2.0	0.0	4.0	2.0	0.0	1.0	2.0	0.0
B0N0M9	-;	PF00512;	K19616;K10681;K07709;K20487;K01768;K05962;K17763;K11383;K02491;K13924;K10819;K02484;K02482;K18143;K07652;K20971;K07651;K07654;K07653;K20974;K14982;K14980;K10942;K18345;K18940;K13533;K18986;K14986;K07649;K07648;K07769;K03320;K18350;K02030;K11959;K07640;K03407;K07643;K03406;K07642;K07645;K10909;K07644;K07647;K07768;K19609;K11525;K11206;K03281;K11527;K11328;K11520;K21084;K02342;K07639;K07716;K02660;K10439;K10715;K19694;K06147;K02668;K07315;K07678;K07711;K07636;	K07636	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	6.0	2.0	0.0
A0A1C7IHF7	-;		K01189;K07407;K03125;K01192;K01204;	K07407	14.0	19.0	2.0	22.0	5.0	9.0	9.0	17.0	2.0	19.0	6.0	2.0	9.0	18.0	4.0	27.0	2.0	7.0	9.0	13.0	1.0	19.0	5.0	1.0
Q8G864	PF03129;		K01892;K02502;	K01892	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G862	PF04480;		K11942;K03654;K04568;K00013;K01153;K00548;K01869;K04066;K00942;K03427;K03469;K03524;K02500;K02533;K03578;K07316;		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0M0	PF02698;		K17624;		1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Q8G863	-;		K01876;	K01876	1.0	3.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0
Q8G7U0	unclassified;		K12056;K12684;K12472;K10953;K12257;K02004;K01421;K01992;K05802;K22051;K06994;K03406;K21449;	K01421	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8G7U1	PF00005;		K16920;K06020;K11635;K02050;K11631;K10038;K02004;K06857;K19083;K02003;K02068;K01990;K02032;K02065;K02031;K02041;K19079;K09810;K05685;K09814;K02028;K09812;	K02003	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0M4	-;	PF14659;			0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8A6C5	unclassified;		K04763;K03733;	K04763	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P27253	-;	PF01642;	K01847;	K01847	0.0	0.0	1.0	6.0	0.0	4.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	1.0	1.0	0.0	1.0	6.0	0.0	0.0
A0A1C7I7H8	-;		K07133;K02837;	K02837	3.0	2.0	0.0	1.0	2.0	0.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	2.0	3.0	0.0	1.0	2.0	0.0
Q8A6C2	PF13495;	PF13102;			0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7IHJ0	-;		K01507;K01514;K15986;	K15986	1.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	4.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
